n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean
38,0.0,0.39818763326226014,1.0,5.334221748400853
39,0.0,0.3924050632911392,1.0,5.2710970464135025
40,0.0,0.37679616817456096,1.0,5.324640766365087
41,0.0,0.3834823776959495,1.0,5.261967385586534
42,0.0,0.41838955386289445,1.0,5.44069640914037
43,0.0,0.4144193725921849,1.0,5.499174463401211
44,0.0,0.3963515754560531,1.0,5.5306799336650085
45,0.0,0.40407938257993387,1.0,5.515435501653804
46,0.0,0.41304347826086957,1.0,5.5719063545150505
47,0.0,0.40805902383654935,1.0,5.674801362088536
48,0.0,0.4140534262485482,1.0,5.804878048780488
49,0.0,0.4178510517339397,1.0,5.6856168277430355
50,0.0,0.4087209302325581,1.0,5.813372093023256
51,0.0,0.42300987797791983,1.0,5.8146426496223125
52,0.0,0.4163217031342401,1.0,5.912477823772916
53,0.0,0.43453070683661643,1.0,5.79026651216686
54,0.0,0.42386831275720166,1.0,5.881834215167548
55,0.0,0.444311377245509,1.0,5.9886227544910176
56,0.0,0.41681468324452337,1.0,5.917702782711664
57,0.0,0.4274626865671642,1.0,5.971940298507462
58,0.0,0.4238733252131547,1.0,6.088915956151036
59,0.0,0.4522215459525259,1.0,6.090079123554474
60,0.0,0.4472863381160324,1.0,6.240174672489083
61,0.0,0.44569993722536094,1.0,6.273069679849341
62,0.0,0.44710327455919396,1.0,6.299748110831234
63,0.0,0.4322250639386189,1.0,6.392583120204604
64,0.0,0.4394736842105263,1.0,6.580921052631579
65,0.0,0.44654498044328556,1.0,6.510430247718383
66,0.0,0.44342105263157894,1.0,6.5796052631578945
67,0.0,0.45550428477257743,1.0,6.594594594594595
68,0.0,0.4331983805668016,1.0,6.746288798920378
69,0.0,0.462431693989071,1.0,6.827185792349726
70,0.0,0.45254470426409904,1.0,6.880330123796424
71,0.0,0.46190476190476193,1.0,6.806802721088435
72,0.0,0.4628999319264806,1.0,6.800544588155208
73,0.0,0.43673469387755104,1.0,6.810884353741496
74,0.0,0.4719025050778605,1.0,6.76303317535545
75,0.0,0.4552090245520902,1.0,6.641672196416722
76,0.0,0.4330175913396482,1.0,6.769282814614344
77,0.0,0.4552238805970149,1.0,6.778833107191316
78,0.0,0.45658073270013566,1.0,6.786974219810041
79,0.0,0.4725274725274725,1.0,6.864010989010989
80,0.0,0.4657162253903598,1.0,6.785471826205024
81,0.0,0.46121883656509693,1.0,6.92590027700831
82,0.0,0.45038167938931295,1.0,6.9465648854961835
83,0.0,0.4554183813443073,1.0,6.857338820301783
84,0.0,0.4649859943977591,1.0,7.000700280112045
85,0.0,0.4353932584269663,1.0,7.030196629213483
86,0.0,0.4672765657987333,1.0,7.02533427163969
87,0.0,0.47467036780013877,1.0,6.940319222761971
88,0.0,0.46453407510431155,1.0,6.9603616133518775
89,0.0,0.4657821229050279,1.0,6.983938547486034
90,0.0,0.4459084604715673,1.0,6.9264909847434115
91,0.0,0.46549295774647886,1.0,7.05
92,0.0,0.4511691884456671,1.0,6.883081155433287
93,0.0,0.44115574348132486,1.0,7.040169133192389
94,0.0,0.4844934527911785,1.0,6.895933838731909
95,0.0,0.4693314955203308,1.0,6.890420399724328
96,0.0,0.4455994455994456,1.0,6.9313929313929314
97,0.0,0.4337431693989071,1.0,6.825819672131147
98,0.0,0.45467128027681664,1.0,6.922491349480969
99,0.0,0.46703678001387927,1.0,6.933379597501735
100,0.0,0.4714086471408647,1.0,6.98186889818689
101,0.0,0.45714285714285713,1.0,6.965156794425087
102,0.0,0.46534653465346537,1.0,7.074964639321075
103,0.0,0.4668567355666429,1.0,7.1240199572344975
104,0.0,0.4641114982578397,1.0,6.970034843205575
105,0.0,0.4381294964028777,1.0,7.190647482014389
106,0.0,0.45186226282501757,1.0,7.032326071679551
107,0.0,0.4585121602288984,1.0,7.15307582260372
108,0.0,0.47413793103448276,1.0,7.176724137931035
109,0.0,0.4656046343229544,1.0,7.24475018102824
110,0.0,0.4734576757532281,1.0,7.1757532281205165
111,0.0,0.44700793078586876,1.0,7.208363374188897
112,0.0,0.49019607843137253,1.0,7.269426289034132
113,0.0,0.4744525547445255,1.0,7.298540145985402
114,0.0,0.47341587764020393,1.0,7.275309541150765
115,0.0,0.4771048744460857,1.0,7.387001477104874
116,0.0,0.4782608695652174,1.0,7.374355195283714
117,0.0,0.4446902654867257,1.0,7.373156342182891
118,0.0,0.4703703703703704,1.0,7.400740740740741
119,0.0,0.4642857142857143,1.0,7.441220238095238
120,0.0,0.46244477172312226,1.0,7.371134020618556
121,0.0,0.4557620817843866,1.0,7.423048327137546
122,0.0,0.45092250922509225,1.0,7.386715867158672
123,0.0,0.44784828592268416,1.0,7.292487235594456
124,0.0,0.44696415508412585,1.0,7.321141185076811
125,0.0,0.4407652685798381,1.0,7.35467255334805
126,0.0,0.4672131147540984,1.0,7.450074515648286
127,0.0,0.4746136865342163,1.0,7.363502575423105
128,0.0,0.46221570066030815,1.0,7.335289801907557
129,0.0,0.48833819241982507,1.0,7.28134110787172
130,0.0,0.4811529933481153,1.0,7.397634885439763
131,0.0,0.49364248317127896,1.0,7.474943904263276
132,0.0,0.4522760646108664,1.0,7.347283406754772
